                      CONFIG                              TIME          COST            PRED_TIME              COST_TIME    
           1x m5n.large & 3x c5.4xlarge             1.55738407172e-05   2.159     0.006 (0.003 + 0.003)     4.0 (1.0 + 3.0) 
          1x m5n.large & 3x m5n.24xlarge            3.01429175171e-06  17.255     0.006 (0.003 + 0.003)     4.0 (1.0 + 3.0) 
          1x m5n.large & 3x m5n.24xlarge            3.01429175171e-06  17.255     0.006 (0.003 + 0.003)     4.0 (1.0 + 3.0) 
          1x m5n.large & 1x m5n.24xlarge            2.71286257654e-05   5.831     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x c5.2xlarge             0.000280329132909   0.459     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 3x c5.12xlarge             5.19128023905e-06   6.239     0.006 (0.003 + 0.003)     4.0 (1.0 + 3.0) 
          1x m5n.large & 1x c5n.4xlarge             0.000168197479745   0.983     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
           1x m5n.large & 2x m5dn.large             0.000325543509185   0.391     0.009 (0.003 + 0.006)     3.0 (1.0 + 2.0) 
          1x m5n.large & 3x c5.12xlarge             5.19128023905e-06   6.239     0.006 (0.003 + 0.003)     4.0 (1.0 + 3.0) 
           1x m5n.large & 1x c5n.large              0.00134557983796    0.227     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
           1x m5n.large & 1x r5.8xlarge             8.13858772961e-05   2.135     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x m5dn.xlarge             0.000651087018369   0.391     0.006 (0.003 + 0.003)     2.0 (1.0 + 1.0) 
           1x m5n.large & 2x m5n.xlarge             0.000162771754592   0.595     0.009 (0.003 + 0.006)     3.0 (1.0 + 2.0) 
          1x m5n.large & 2x m5dn.2xlarge            8.13858772961e-05   1.207     0.005 (0.003 + 0.002)     3.0 (1.0 + 2.0) 
           1x m5n.large & 3x c5.4xlarge             1.55738407172e-05   2.159     0.006 (0.003 + 0.003)     4.0 (1.0 + 3.0) 
          1x m5n.large & 1x m5n.2xlarge             0.000325543509185   0.595     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 1x c5n.4xlarge             0.000168197479745   0.983     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 3x c5n.4xlarge             1.86886088606e-05   2.711     0.006 (0.003 + 0.003)     4.0 (1.0 + 3.0) 
          1x m5n.large & 1x r5.24xlarge             2.71286257654e-05   6.167     0.004 (0.003 + 0.001)     2.0 (1.0 + 1.0) 
          1x m5n.large & 3x m5n.8xlarge             9.04287525513e-06   5.831     0.006 (0.003 + 0.003)     4.0 (1.0 + 3.0) 
          1x m5n.large & 2x c5.12xlarge             1.16803805379e-05   4.199     0.005 (0.003 + 0.002)     3.0 (1.0 + 2.0) 
           1x m5n.large & 3x m5n.xlarge             7.2343002041e-05    0.833     0.012 (0.003 + 0.009)     4.0 (1.0 + 3.0) 
